zone,annee,year,pathologie,code_pathologie,nom_pathologie,region_departement,code_departement_region,nom_departement_region,hospi_prog_24h,hospi_autres_24h,hospi_total_24h,hospi_1J,hospi_2J,hospi_3J,hospi_4J,hospi_5J,hospi_6J,hospi_7J,hospi_8J,hospi_9J,hospi_10J_19J,hospi_20J_29J,hospi_30J,total_hospi,AVG_duree_hospi,cle_unique,service,Classification,cle_unique_2
Départements,2018,12/31/2018,15117-Avortement toutes causes,15117,Avortement toutes causes,01 - Ain,1,Ain,1605,0,1605,176,84,22,4,3,0,0,0,0,0,0,0,1897,1.58,01 - Ain_15117_2018,O,O,01 - Ain_2018_O
Départements,2019,12/31/2019,15117-Avortement toutes causes,15117,Avortement toutes causes,01 - Ain,1,Ain,1759,0,1760,214,91,13,8,3,0,0,0,0,3,0,0,2095,1.6,01 - Ain_15117_2019,O,O,01 - Ain_2019_O
Départements,2020,12/31/2020,15117-Avortement toutes causes,15117,Avortement toutes causes,01 - Ain,1,Ain,1559,0,1559,196,105,16,6,4,0,0,0,0,0,0,0,1889,1.58,01 - Ain_15117_2020,O,O,01 - Ain_2020_O
Départements,2021,12/31/2021,15117-Avortement toutes causes,15117,Avortement toutes causes,01 - Ain,1,Ain,1558,0,1560,202,71,22,9,3,0,0,0,0,0,0,0,1870,1.55,01 - Ain_15117_2021,O,O,01 - Ain_2021_O
Départements,2022,12/31/2022,15117-Avortement toutes causes,15117,Avortement toutes causes,01 - Ain,1,Ain,1592,0,1593,211,57,11,3,0,0,0,3,0,0,0,0,1882,1.44,01 - Ain_15117_2022,O,O,01 - Ain_2022_O
Départements,2018,12/31/2018,15117-Avortement toutes causes,15117,Avortement toutes causes,46 - Lot,46,Lot,549,0,551,56,15,8,3,0,0,0,0,0,0,0,0,635,1.55,46 - Lot_15117_2018,O,O,46 - Lot_2018_O
Départements,2019,12/31/2019,15117-Avortement toutes causes,15117,Avortement toutes causes,46 - Lot,46,Lot,537,0,537,66,13,4,0,0,0,0,0,0,0,0,0,623,1.4,46 - Lot_15117_2019,O,O,46 - Lot_2019_O
Départements,2020,12/31/2020,15117-Avortement toutes causes,15117,Avortement toutes causes,46 - Lot,46,Lot,514,0,514,58,13,0,0,0,0,0,0,0,0,0,0,588,1.3,46 - Lot_15117_2020,O,O,46 - Lot_2020_O
Départements,2021,12/31/2021,15117-Avortement toutes causes,15117,Avortement toutes causes,46 - Lot,46,Lot,509,0,511,57,8,4,0,0,0,0,0,0,0,0,0,581,1.25,46 - Lot_15117_2021,O,O,46 - Lot_2021_O
Départements,2022,12/31/2022,15117-Avortement toutes causes,15117,Avortement toutes causes,46 - Lot,46,Lot,524,0,524,62,7,4,0,0,0,0,0,0,0,0,0,597,1.21,46 - Lot_15117_2022,O,O,46 - Lot_2022_O
Départements,2018,12/31/2018,15117-Avortement toutes causes,15117,Avortement toutes causes,83 - Var,83,Var,4306,4,4310,317,115,42,24,6,7,4,3,0,3,3,0,4835,1.9,83 - Var_15117_2018,O,O,83 - Var_2018_O
Départements,2019,12/31/2019,15117-Avortement toutes causes,15117,Avortement toutes causes,83 - Var,83,Var,4170,8,4178,357,114,39,16,8,0,5,0,0,3,0,0,4725,1.65,83 - Var_15117_2019,O,O,83 - Var_2019_O
Départements,2020,12/31/2020,15117-Avortement toutes causes,15117,Avortement toutes causes,83 - Var,83,Var,3559,3,3562,307,120,37,8,8,5,0,0,0,0,0,0,4051,1.62,83 - Var_15117_2020,O,O,83 - Var_2020_O
Départements,2021,12/31/2021,15117-Avortement toutes causes,15117,Avortement toutes causes,83 - Var,83,Var,3263,0,3264,348,120,23,9,4,4,0,0,0,0,0,0,3776,1.53,83 - Var_15117_2021,O,O,83 - Var_2021_O
Départements,2022,12/31/2022,15117-Avortement toutes causes,15117,Avortement toutes causes,83 - Var,83,Var,3450,0,3451,354,85,20,8,0,0,3,0,0,4,0,0,3931,1.53,83 - Var_15117_2022,O,O,83 - Var_2022_O
Départements,2018,12/31/2018,15117-Avortement toutes causes,15117,Avortement toutes causes,10 - Aube,10,Aube,1081,3,1084,181,45,11,3,0,3,0,0,0,0,0,0,1334,1.52,10 - Aube_15117_2018,O,O,10 - Aube_2018_O
